,BA_per,A_HR_per,HBP_per,HRH_per,ISO_per,SLG_per,OBP_per,XBH_diff,TB_per,TOB_per,OPS_per,IP_per,FIP_per,BB9_per,K9_per,GBF_per,ERA_per,DICE_per,HR9_per,WHIP_per,KBB_per,home_team_wins
3082,3.363,-109.879,72.737,50.695,37.288,17.59,12.714,0.0,23.907,23.683,15.45,0.01,39.048,40.0,11.818,0.076,43.055,4.762,15.0,34.737,43.299,0
3083,-1.24,20.246,40.01,-23.85,-8.887,-4.372,-0.699,-10.345,-15.602,-11.048,-2.775,-14.933,-62.4,7.2,8.121,-0.028,-36.088,-24.286,-38.029,-2.493,56.637,1
3084,0.604,21.609,0.01,-28.342,-20.881,-7.493,1.348,-8.163,0.876,8.223,-3.558,12.098,-535.88,1.674,-5.427,0.089,-18.818,-89.504,-288.267,-36.83,44.737,0
3085,-0.116,-24.678,-399.99,19.886,-1.038,-0.463,2.676,-16.667,-1.76,3.01,0.926,-7.049,-13.582,-0.456,29.945,0.18,19.906,-10.104,26.609,5.199,70.37,0
3086,6.378,-0.364,-49.99,-6.429,4.957,5.949,7.352,10.0,5.617,8.132,6.59,-10.743,107.082,9.709,-41.08,-0.259,19.327,47.475,68.132,22.987,41.6,0
3087,-8.392,-65.422,-66.657,44.231,24.886,5.492,-4.652,26.531,12.07,3.096,1.17,6.752,69.665,1.181,-22.685,0.166,19.192,25.647,19.263,6.963,37.008,0
3088,-17.346,76.546,57.153,-263.312,-159.307,-52.029,-13.079,-132.143,-64.014,-22.152,-32.478,-14.597,12.745,21.999,4.732,-0.311,1.961,1.863,8.575,17.001,55.14,1
3089,-0.986,52.692,-49.99,-109.316,-58.139,-21.144,6.184,-21.818,-18.433,11.169,-8.64,-2.031,-19.458,-20.189,20.748,-0.179,18.269,-13.622,-0.534,-11.146,69.892,0
3090,-1.153,19.285,0.01,-22.48,-20.99,-8.597,-0.626,-8.889,1.399,7.378,-5.072,12.951,-796.504,6.808,-9.691,0.039,-20.535,-100.328,-376.894,-39.344,40.566,0
3091,-0.1,-17.003,-299.99,14.617,-8.857,-3.313,2.162,-25.581,-4.752,2.172,-0.89,-6.24,5.153,3.962,29.412,0.074,20.197,-4.301,32.773,10.364,66.667,1
3092,12.803,1.351,-49.99,-16.26,5.273,10.556,13.342,13.158,11.775,16.24,11.837,-9.185,107.506,0.789,-38.543,-0.234,19.643,46.711,71.382,17.143,44.068,0
3093,-4.482,-108.818,-66.657,54.167,33.472,11.39,-1.058,31.111,19.058,8.397,6.076,9.534,42.628,-5.921,-20.091,0.254,25.595,16.195,5.263,-1.754,40.708,0
3094,-12.862,78.557,57.153,-313.194,-149.361,-45.29,-9.067,-114.815,-55.759,-16.467,-27.104,-16.857,-6.017,18.859,6.062,-0.219,-0.41,-7.005,-3.668,12.023,54.455,0
3095,0.745,53.307,-99.99,-115.774,-58.828,-20.324,5.793,-20.755,-16.369,10.969,-8.433,-3.287,-14.797,-9.595,18.572,-0.128,18.346,-11.804,-3.262,-5.279,66.667,0
3096,-9.179,13.894,71.439,-6.369,-23.929,-14.86,-5.098,-60.465,-38.452,-26.144,-10.565,-22.083,29.943,26.425,-10.571,0.216,2.311,1.878,1.921,19.217,39.259,0
3097,6.778,11.226,-99.99,-20.839,-1.644,4.188,1.542,2.564,7.222,3.97,2.962,6.42,-171.872,-13.26,18.874,-0.202,-101.297,-49.394,-71.722,-22.36,64.634,1
3098,-16.802,67.13,57.153,-160.453,-122.466,-44.905,-12.058,-112.903,-56.487,-20.908,-28.587,-12.49,-0.317,18.73,2.564,-0.353,1.93,-3.571,-3.704,12.145,56.14,1
3099,-2.309,55.318,-49.99,-118.75,-61.209,-23.327,5.38,-20.339,-20.533,10.256,-10.242,-0.942,-10.222,-22.47,21.713,-0.179,18.132,-8.321,7.83,-9.187,69.388,1
3100,-11.446,9.096,71.439,1.296,-24.716,-16.431,-4.985,-65.957,-39.506,-24.66,-11.311,-19.378,17.208,18.703,-11.187,0.18,5.498,-2.731,-4.921,12.203,44.0,0
3101,7.332,23.482,-149.99,-41.032,-4.126,3.871,3.21,4.545,6.393,5.613,3.562,5.628,-155.345,-19.196,22.867,-0.202,-100.527,-43.085,-44.739,-22.602,69.231,0
3102,-9.048,3.137,16.677,5.33,-6.573,-8.06,-1.032,-18.728,-14.822,-4.643,-4.972,2.762,-169.647,-48.124,19.262,-0.124,-40.636,-40.026,-33.212,-44.69,71.457,1
3103,-0.87,32.91,17.083,-47.768,-23.216,-9.243,3.035,-14.235,-12.316,2.493,-3.794,-6.314,-19.226,20.276,3.075,-0.134,41.369,-19.768,-17.634,10.453,33.853,0
3104,-7.972,6.7,5.892,0.735,-11.682,-9.353,-9.208,-21.757,-14.215,-16.084,-9.289,-4.165,9.398,5.129,8.625,-0.46,31.974,1.464,15.33,6.766,44.251,1
3105,0.516,35.165,-99.99,-55.039,-16.261,-5.49,1.503,14.286,2.304,8.79,-2.314,2.391,51.05,-6.305,-3.495,-0.765,13.265,26.486,43.089,11.646,56.122,1
3106,4.35,-54.083,-63.626,32.147,23.733,11.777,8.894,14.384,13.504,13.061,10.534,4.739,11.538,-4.607,-13.431,0.058,-39.841,7.189,2.24,-2.848,51.042,1
3107,-2.671,-15.996,-18.172,16.034,16.062,4.605,1.987,13.406,1.355,0.889,3.46,-6.045,23.728,-12.296,4.472,-0.313,24.634,-0.246,21.271,-2.476,34.101,0
3108,13.681,-57.483,33.343,26.432,25.197,18.172,11.873,20.513,19.469,14.764,15.284,-13.033,12.511,-2.071,31.197,0.359,-6.859,-1.746,42.5,9.081,65.934,0
3109,-9.559,36.715,-249.99,-44.225,-31.654,-16.377,-11.789,-13.889,-17.828,-15.597,-14.271,-4.928,13.422,15.535,-28.329,-0.823,-23.934,2.864,-22.521,6.349,38.614,1
3110,0.406,31.852,-9.99,-47.339,-35.032,-12.417,-3.073,-22.593,-10.061,-2.54,-8.354,-6.618,66.515,35.817,-6.981,-0.144,9.112,31.05,34.434,35.471,38.158,0
3111,-21.966,-9.329,19.241,25.012,-10.467,-17.962,-14.178,-20.721,-23.657,-20.277,-16.246,-2.073,28.132,42.522,2.041,-0.055,-31.756,2.232,-13.426,31.454,33.88,0
3112,7.187,-52.417,27.283,29.308,17.511,11.563,13.702,0.0,21.381,26.967,12.509,2.363,94.525,26.393,-31.04,-0.498,56.391,36.851,58.853,35.994,38.655,1
3113,-12.552,22.864,-149.99,-15.179,-25.53,-17.126,-14.449,-28.205,-22.603,-23.194,-15.925,-12.977,74.932,29.195,-0.011,0.266,-32.371,26.353,39.152,31.439,38.938,0
3114,14.637,-1.79,-199.99,-15.094,12.033,13.566,6.324,12.5,12.029,2.969,10.523,-13.033,36.308,-40.631,18.834,0.001,8.69,23.699,54.68,-1.471,69.663,0
